commentId,videoId,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,publishedAt,updatedAt,likeCount,textDisplay,totalReplyCount,parentId,canRate,viewerRating,mentioned_brands
UgxvsClRxFdE55FnRPp4AaABAg,JHgr9SgeicM,@precioushans8238,https://yt3.ggpht.com/Hs_UZloGy1rqKNSfBrLoScXd0-Wz73Xj6sP2ILy97mx3lVsUaTJwabDxgYWPUQNkQNXMxqnIQg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@precioushans8238,UCFjFSwfyjX_W6-X_Q6OpuWA,2024-03-10T18:03:18Z,2024-03-10T18:03:18Z,0,Hi everyone. I'm a computer science student at ENMU. Just yesterday my life was fine. I had just taken my midterm. When I got back to my room I realized my iPad was gone. All of my notes and everything. Gone. I have reported it stolen to Apple and locked my apple pay. But please I need a new iPad for school. I can't afford one right now. Any help will be much appreciated. If you can't felo financialy please help like this comment so others who can help can do so. Please help me I really need this before spring break is over. I can also accept a used iPad if anyone has one. Thank you,0,,True,none,['Apple']
UgzxKo_wckMtxeXLmO54AaABAg,JHgr9SgeicM,@neelrivera2010,https://yt3.ggpht.com/SndbNEEpl0rPnYzywrHmeTxpkrRg8dx00rzSOIdqgdYyS_yp7A_8HvmGK6IHBRPiLHTzSnHxUQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@neelrivera2010,UC6YtvAzoAQ55LBKpqiF-aLQ,2024-02-12T18:38:12Z,2024-02-12T18:38:12Z,0,"Crazy, now this you can use with Apple Vision Pro 😂",0,,True,none,['Apple']
Ugws5Dn0xJY-RtGnwuR4AaABAg,JHgr9SgeicM,@marvdatboi,https://yt3.ggpht.com/ytc/AIdro_lUF0con69qhN4bq4gS2XxbREp8RF0UwD5fske4L20=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@marvdatboi,UCaQTnAmaENQxpCQ3aPt3wzQ,2024-02-12T18:17:14Z,2024-02-12T18:17:14Z,0,All you need is the Apple Vision Pro and the future is hear lol.,0,,True,none,['Apple']
UgyRhV_iMOZGl_d5SA94AaABAg,yjztvddhZmI,@falsestorm680,https://yt3.ggpht.com/ytc/AIdro_nvAJBO1bXT9qkEK7fCnPrBu7mVAKwC0xKY5x29SzI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@falsestorm680,UC9_TZ_CQ-86vR00_SzxXEXg,2022-04-04T00:46:18Z,2022-04-04T00:46:18Z,0,"Once I buy my $65,000 self driving car. I can't wait to pay my car monthly subscription fee and watching a 5 min ad before my car will turn on. Not to mention I will need to my apple mechanic store to install genuine components n become a smart paperweight  if I use aftermarket upgrades",0,,True,none,['Apple']
UgyKHlbq7W0BpiJFm7x4AaABAg.9WjPNJu42j69Wk6cuGqawQ,yjztvddhZmI,@RS-ls7mm,https://yt3.ggpht.com/ytc/AIdro_klgbjmkvTukEQy8kVP0OBAU_aXxYriDzFSVwYRV5I=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@RS-ls7mm,UCCu9KF676_Rg5CDrggAuqsg,2022-01-03T16:44:45Z,2022-01-03T16:44:45Z,1,"There is no privacy these days.  If you bother to read most of the legal disclosures you will find that most say they can sell your data. 
As to hack proof I found out that most have over the air software updates, so no. 
No doubt any updates will stop after a few years so your old car will become obsolete and you have to buy a new one.  Kind of like Apple. 
Modding it will probably void all the legal protection so not a good idea if you get in accident. 
And who is responsible if you do get into an accident?  I think this is still being worked out.",0,UgyKHlbq7W0BpiJFm7x4AaABAg,True,none,['Apple']
UgzapEK7J7hf5CxKnWt4AaABAg,yjztvddhZmI,@WSNO,https://yt3.ggpht.com/Oj0a7Ufdq3Rfp3jvR5lHnvl461et42QIPMMBt-30o6ucLYCX7fLMLBb6Q5ykyS2VfpuwcfIcSw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@WSNO,UCgQDRoGTRG_2S2RMYRyUuDQ,2021-12-19T20:37:13Z,2021-12-19T20:37:13Z,1,"eyo aint need no tesla lookin thing all i gotta do is take the d train to the f train and get off at union station down by macsoogal street an everything in the five boroghs is right there an we got the busses an taxis an skyrail and man its the future we got wedway people movers between every freakin building from upper manhatten down to joisey an even staten island what the new york city funk do we need these goofy ass thing for when people are the best drivers there ever was 
i told tumblr and i'll tell you only self driving car i ever need is the one that drives my butt from the door to the couch after a long hard day so i can grab the clicker and put the game on in the big apple nyc go dodgers go sneps 

ain't never gonna convince me or anyone else. we goin to real cars not that junk that keeps trying to keep us ""safe"" from all the dangers it invented itself. aint need no backup camera when the windows are possible to see out of aint need no airbags if the thing doesn't go a million miles an hour for no got dang reason aint need no electric if gasoline made outta pee",1,,True,none,"['Tesla', 'Apple']"
UgxtEbe0l01gxjI26fF4AaABAg,yjztvddhZmI,@tiggeroush,https://yt3.ggpht.com/ytc/AIdro_nt9uojumXJz1TAnfn4GhfiVAzbiDJBl6wDVUksZz-pvGQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@tiggeroush,UCYC1ANoY-_V-sMHHhKfY8Dw,2021-12-15T01:39:10Z,2021-12-15T01:41:44Z,1,"I am thinking, what happens when the processer starts locking up from the updates.. oh wait that's Apple slowing down my phone and trying to get me to buy a new iPhone I don't need.",0,,True,none,['Apple']
UgwFyP9S-GqEXvt9got4AaABAg,yjztvddhZmI,@spankyjeffro5320,https://yt3.ggpht.com/ytc/AIdro_nkr7c2irBtykaQV_R34dQJ_RINpbThM-BVF9_gGGS4BA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@spankyjeffro5320,UCqGEicaodZTLDy0wGeBM85A,2021-08-04T05:31:52Z,2021-08-04T05:31:52Z,44,"While I'd feel comfortable using a driverless car, 'cause I don't drive, myself. 
I'm wondering what the future of them is. 
Will there only be companies such as Waymo using them as taxis?
Or, will the public be able to buy and use them?
Will the software that runs these cars be included in the price?
Or, will it be a subscription kind of thing to keep them on the road?
I can see them becoming very handy.
But, I can also see them becoming a very expensive nuisance.  
I can see companies charging a king's ransom to use them, *cough* apple, adobe *cough*.",3,,True,none,"['Waymo', 'Apple']"
UgzkbZZxVKdISPnUZuV4AaABAg,yjztvddhZmI,@longwoolcoat2266,https://yt3.ggpht.com/KaY-OVSgqWbnQJe_RhMo4UVF3UWnFhS1XfoXvjFv8OiqCluAAlJD2FDyZl_ghNhx4M0UpaLwgQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@longwoolcoat2266,UCW3N0VthBwSIl1rQkVGTlFQ,2021-07-27T01:29:30Z,2021-07-27T01:29:30Z,1,"The biggest reason I don't feel comfortable with self driving cars is because they take away the democratization of owning a car. Now, any dumbass can learn to repair an internal combustion engine. Self driving cars are extremely complex machines that only a handful of people in the planet are equipped to maintain and repair. If they were to become ubiquitous,  that would lend itself very easily to monopolies. It's the same thing Apple does with the iPhone. Only they can fix it and they can charge you up the ass if they want to.",2,,True,none,['Apple']
Ugw_AwDoneSeFUNoTyh4AaABAg,yjztvddhZmI,@slaapkonijn58,https://yt3.ggpht.com/ytc/AIdro_m6Mmr16YtswtSmzYzn4fJidEwY3voT5tDT1yA0vfE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@slaapkonijn58,UCZovu-h_Wj9nlefd2Vslrsg,2021-07-24T14:59:36Z,2021-07-24T14:59:36Z,0,"but how can you implement this in society though? do we need another subscription to some company that is made to make a profit? this is another move towards a future where no one owns anything anymore? I love the technical stuff that makes this possible, however i do think there needs to be a debate towards how we are going to use such a system? to me personally this should become like public transport, where most of it is owned or partially owned by the government. So the company does not get to much power in out transport(i.e. increasing the prices when everyone has sold their cars). 
only time will tell if we allow such a company to become another amazon or apple or if we handle it in such a way everyone can profit from it not just the rich.",0,,True,none,['Apple']
