commentId,videoId,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,publishedAt,updatedAt,likeCount,textDisplay,totalReplyCount,parentId,canRate,viewerRating,mentioned_brands
Ugwf5D6i1TX0JgQBU-14AaABAg,JHgr9SgeicM,@savelasonke8516,https://yt3.ggpht.com/RkPDeyXfO-9o4Y5eJiSiRzDE_SllteBbMMkmaKqLoSBF0q-glmeneK_wWIBHrP1Dl8EKT2IJMw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@savelasonke8516,UCizlj-MjUlkkR9YmpWuBZew,2024-02-17T20:00:48Z,2024-02-17T20:02:45Z,0,"The back looks like it could've been a BMW, the front look sort of like a Ford crossed with a Mitsubishi Lancer",0,,True,none,"['Ford', 'BMW']"
UgylfPnDaVH3qxUVIel4AaABAg,yjztvddhZmI,@MikeOxlong-,https://yt3.ggpht.com/xm_AaoXRzTLGMVTwAfcb4ZxamG89j-7aN5W1DN-ErmWjtZBcxd0vQy3H845DUW82U_cPOQERAG0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@MikeOxlong-,UCVc7gOapGFVXTsS5-opWSUA,2022-01-03T17:36:26Z,2022-01-03T17:36:26Z,0,"Nah, I drive a standard BMW and like driving! I’ll stick to it as opposed to what the WEF wants for humanity... Thx.",0,,True,none,['BMW']
UgwkVsvvQw9_6Ii83q14AaABAg,yjztvddhZmI,@g.c.t.fbennyf1wheels645,https://yt3.ggpht.com/07Q1OCc9IbASPumEwzIusF_xtgT_tvIS5t-nHOs1mailaG-ALZBEDvdyLHR87vWSRzIYwxHpcA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@g.c.t.fbennyf1wheels645,UCyzU7bJKesnyeLx7Pg6hnbQ,2021-08-22T01:48:55Z,2021-08-22T01:48:55Z,0,"Imagine..

You have no driver license and you must be passenger of driverless vehicle like Tesla / BMW with automatically drive, you decides to jump in driver seat and illegal drive till cop came up and pulled you over.. switch your seat to passenger and cop be like..

erm, you know why I pulled you over? 

Passenger: No

Where is the driver?! 

Passenger: No driver, just me and this automatic drive

Alrighty, you’re free to go. 🤷🏻‍♂️

😎",0,,True,none,"['Tesla', 'BMW']"
UgxQUJbnxQba38cSPyV4AaABAg,yjztvddhZmI,@JhonasGamerYT,https://yt3.ggpht.com/_DwO6A7Y8ZXbWJZYRpgau-sriGUF0Y2Tl16rj0bCvg9iwpoJX0T7clQy7Wef6ZeygxUnt2yl=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@JhonasGamerYT,UCgSfkIlCiXjOZQOr0lmOJtQ,2021-07-28T04:53:49Z,2021-07-28T04:53:49Z,0,so heres my take as a driver who owns a bmw m3 e46 and yes i drive safe and always take the car out to practice always that i can cus i value my and others life anyways my take is people should still be able to drive the car as in you buy a skyline you want to drive it feel the power but still have some sort of protection like level 3 or 4 autonomy to keep the car / drive safe because lets face the fact even if the day was today for all of us to chage to driverless cars many people out there would still like to take the wheel,0,,True,none,['BMW']
UgzYrfOPi9ENzOhj24p4AaABAg,yjztvddhZmI,@lunastail,https://yt3.ggpht.com/RqX6wCJ9a5AzCBlldgx49CJ0sZTsQOzYPFNscf_jAh-sOdlRUs4b2vC-GBfexns2cH3X0kU4bL8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lunastail,UCYcu8UuWQcqucU8oV0iSxtA,2021-07-25T15:27:49Z,2021-07-25T15:27:49Z,0,What I wanna see is how it handles your average BMW driver stuck 20cm behind your rear at 100km/h.,1,,True,none,['BMW']
UgyYmOa0DzdiO-ZCIEh4AaABAg,yjztvddhZmI,@benjaminbuljevic7977,https://yt3.ggpht.com/ytc/AIdro_lhGkM83s9K3bHZYERTcIj7dwXaiWLvjRrZygD01soCrWc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@benjaminbuljevic7977,UC8SL28Lw0lrCm-dxGLmByNg,2021-07-25T08:51:10Z,2021-07-25T08:51:10Z,0,"you know whats gonna happen in like 60 years 
the roads will be full of electric and mostly self driving cars like the modern tesla autopilot
and then theres gonna be me
im gonna be 80 years old,
ill have a long white beard
and ill drive a bmw e60 m5
all the kids will be amazed at the sounds its na 5l v10 makes",0,,True,none,"['Tesla', 'BMW']"
UgwrgJDwAqWNGWdPwX94AaABAg,yjztvddhZmI,@drawapretzel6003,https://yt3.ggpht.com/ytc/AIdro_l-idER7LsC__Ly8S7PtC0g0C31bwfzEbD3hT4pTco=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@drawapretzel6003,UCsvSlciBd34usCEZ3AevlgQ,2021-07-25T04:39:58Z,2021-07-25T04:39:58Z,0,"Driverless cars will be great, for about 25% of the population who are bad drivers, horrible at multitasking, don't actually know how to predict objects in motion, bmw drivers, etc.

Driverless cars won't help the middle bit that much, except if they really do have other things to do, the car will be better than them by some amount just by dint of more eyes, and unlimited object tracking. It could go either way.

Driverless cars won't be better than the top 25% of drivers, the people who drive so much and practice so much, the gamers who have been shown to have greater object tracking skills. The professional racers, who spend 10k hours tracking objects and speeds and know their car physics.

The comparison to planes is a bad one, plane pilots are supposed to be *well trained* and that pilot who put the plane in reverse on accident I'm sure was fired for gross incompetence. The average driver is *not* professionally trained, so of course the computer is going to be better than a minority of drivers, but the computer is only superior at flying a plane when the pilot would get 0 information from the outside world. The plane has gps and radar and all sorts of stuff the pilot doesn't. I completely agree that the solution is just train drivers better, and then we reduce 25% of all accidents. But as long as we allow drivers to be amateurs, then sure, driverless robot cars will be better than at least 25% of drivers.

I'm at least average, and I think it's a little disingenuous to say that 73% of people thinking they're above average is a bad thing, because only 1/3rd of those people are wrong. 50% of the population is above average, by definition, even if by a miniscule amount. When I drive by myself, with no (or few, like a good song on Pandora) distractions, I am way better of a driver than any computer could be with the same amount of data input. It's just a factor of the neural nets that make up physics prediction.

When I have other riders, or distractions, I'm no better than average, but I'm still better than the 25% at the bottom that are physically dangerous to be around.

I recently got a nice (used) Toyota sienna with laser powered cruise control, and it is the nicest cruise control I have ever had. No other car I have ever owned has been capable of performing as well, and the controls are all on a single gamer-friendly knob, instead of random buttons I have to read every time.

That said, it's from 05, it doesn't know how to do calculus to know when to stop accelerating. If it sees it is going more than 5 mph different than what you set it, it up shifts, sometimes twice, and then it'll shoot past it's target, sometimes even into detection range of another car, then slowing way down, it doesn't know how to solve for time of acceleration, it's really obvious.

But, if you get it up to the correct speed manually, it maintains that speed WAY better than a foot-powered foot ever could, so in that way, I use it as a manual throttle lock, instead of a real cruise control. I'm always attentive of it, because even with car detection, it doesn't work great driving into the sun, or driving in the rain. Additionally, on the highway it has no idea about lanes, and I have to physically pause it, or switch lanes before it tries to slow me down when I pass.

Are self driving cars better than that? Yeah, even a shitty Tesla like what electroboom has can lane switch, but it has obvious failure modes too. Maybe that's because it's not ""grade four driverless"" or whatever, but ultimately I won't ever drive a car that I can't be in control of, because the car is a tool for me to use, not a chauffeur.

Cruise is a tool. ABS is a tool. Sonar range finders are a *tool* and when driverless becomes a thing, I will still use it as a tool. Even if I don't have to have my hands on the wheel, it *will not* be better at prediction and physics than me, only at multitasking and long distance sign reading (curse my nearsighted genes!) And reactions as well, but if it hasn't identified the problem correctly then it doesn't matter if it's reaction is .0001 seconds, because I'll have to take over in .01 seconds anyway.

An average or above average driver will be better than a computer at solving for edge cases. A bottom 25% driver may as well switch to driverless in 15 years when they're actually affordable.

This is a nice video, and I wasn't aware that full driverless was actually this advanced, I was still under the impression it was at grade 3 or lower, but when people said the technology is 10 years away they weren't wrong.

Richard Branson went to space, it'll be 50 years before I can afford it. it'll be 10 before you can afford it.

Self driving cars (or even electric) will be 10 years before they're common in the market, and 30 before they're affordable.

I really want a cybertruck. But do you know how much I'd have to make you afford one? It's not really feasible for most of the population. You live in a very narrow entitled slice.",0,,True,none,"['Tesla', 'BMW']"
UgwfSbXwq-ZJwf7w9Bh4AaABAg,yjztvddhZmI,@spicyweasel,https://yt3.ggpht.com/ytc/AIdro_nu4HaQF3bd2hBiDGojeBqUE97nZxgDHrAutw1IsEJMHiw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@spicyweasel,UCNof2TwkqhK-E6F5r53YgFw,2021-07-24T15:14:17Z,2021-07-24T15:14:17Z,0,"There's another big advantage of self-driving cars. Its the network. Cars can be connected to each other on the road using the Internet or some other form of WAN and communicate with each other about routes, traffic information and stuff like that. Heck, if your car knows what turn the car in front of you is going to take 500m ahead, wouldn't that make your car's decisions more reliable? I think BMW already has a prototype of this implemented in their cars.",0,,True,none,['BMW']
UgyR-pJ7jape_eqwuBN4AaABAg.9QB8Ihqa8f39QBBNxubdPm,yjztvddhZmI,@PaulSmith-gi5bf,https://yt3.ggpht.com/ytc/AIdro_nOsJ4CvoEAYvV251WSiA4gDyzxJVdtW-d5R1EyoNwtl4w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@PaulSmith-gi5bf,UCH9kiZeyZ8S9U1kUAsLHQ6A,2021-07-24T14:45:14Z,2021-07-24T14:45:14Z,0,"I bet manual cars will still be around but as a hobby, just like there's still people who ride horses

I also like driving, but I'd take automatic cars over dealing with entitled bmw driving pricks endangering me constantly",0,UgyR-pJ7jape_eqwuBN4AaABAg,True,none,['BMW']
UgyzM65MU0X1MuEy_GN4AaABAg,yjztvddhZmI,@nicelikerice12311,https://yt3.ggpht.com/ytc/AIdro_k1T-QQhEkflgKZYg0xYnI-l967U1YUv9BKv_RlfzmxKkA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@nicelikerice12311,UC5bUG_GqIRUIp5iQ1vg6pOg,2021-07-24T11:23:10Z,2021-07-24T11:23:10Z,13,Having a BMW cut off the van would have been a more realistic test instead of the S2000.,1,,True,none,['BMW']
