commentId,videoId,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,publishedAt,updatedAt,likeCount,textDisplay,totalReplyCount,parentId,canRate,viewerRating,mentioned_brands
Ugw7t_YV1HbfzXODnYB4AaABAg,JHgr9SgeicM,@jonhaze7537,https://yt3.ggpht.com/ytc/AIdro_l-wR1pJyCDt3ttDjhU6CgqZ0mZMzjOpgn4rwC3khgJeyg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jonhaze7537,UCglptdrf9kAX2rf6uaUJkYA,2024-06-11T21:06:17Z,2024-06-11T21:06:17Z,0,Tesla ftw,0,,True,none,['Tesla']
UgxzXX3JHL0w5A1qN814AaABAg,JHgr9SgeicM,@josh_m,https://yt3.ggpht.com/ytc/AIdro_mgGRzk4n8O32MPzV6Tv7niMFRDhoyAnJMjj7wyvkokqBAm=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@josh_m,UCiDc0NxTvtp362GX445pgog,2024-06-03T14:28:36Z,2024-06-03T14:28:36Z,0,"How is this thing with all the extra stuff dangling off the side/top the ""real"" driverless car? Plus it's sandboxed to certain areas. Meanwhile there are vast numbers of Tesla vehicles doing this with just cameras, on FSD v12, and it works great.",4,,True,none,['Tesla']
UgxzXX3JHL0w5A1qN814AaABAg.A4DxAPRrpyPA4zSHMMR2Bb,JHgr9SgeicM,@LarsRyeJeppesen,https://yt3.ggpht.com/ytc/AIdro_nsoW0V4yLtcbwqnCIKOmPZIbpKW072KpW4JWDaYv3xAGID=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@LarsRyeJeppesen,UCecNVv-Wl0xIeMPYrg7YTtA,2024-06-22T10:32:43Z,2024-06-22T10:32:43Z,2,"Yeah, all those Tesla self driving taxies......",0,UgxzXX3JHL0w5A1qN814AaABAg,True,none,['Tesla']
UgxzXX3JHL0w5A1qN814AaABAg.A4DxAPRrpyPA4zXYoOL3bb,JHgr9SgeicM,@josh_m,https://yt3.ggpht.com/ytc/AIdro_mgGRzk4n8O32MPzV6Tv7niMFRDhoyAnJMjj7wyvkokqBAm=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@josh_m,UCiDc0NxTvtp362GX445pgog,2024-06-22T11:18:47Z,2024-06-22T11:18:47Z,0,"@@LarsRyeJeppesen forget the taxis for now. FSD is in use daily by tons of Tesla owners. It works really well, but it's not yet perfect.",0,UgxzXX3JHL0w5A1qN814AaABAg,True,none,['Tesla']
Ugz9mh7dkpo_b2jxgLF4AaABAg,JHgr9SgeicM,@apexlowe2788,https://yt3.ggpht.com/ytc/AIdro_msjFYvAIiub4nGIoYgXLqbNpxzLARIp_vS_puNVTY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@apexlowe2788,UC9Y3cB563AYTnd5PJH8flrg,2024-06-02T07:17:01Z,2024-06-02T07:17:01Z,0,Tesla FSD debuting in August 2024 as per Elon...hope it drive prices down.,0,,True,none,['Tesla']
Ugx5y9xpMeDiHwC5xUJ4AaABAg,JHgr9SgeicM,@The_Love_Doctor_Sean,https://yt3.ggpht.com/6RhmP2_js74FPHVmzuO30GpER7uJlYWx1WWyxtvSFMMHfJXYB2qKihfGeG_xlGSc9790RfFf=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@The_Love_Doctor_Sean,UC4CzOGmrB-waJxIWAcyAdHg,2024-05-28T10:51:50Z,2024-05-28T10:54:13Z,0,"I know most will never give this respect and good review to Tesla because they hate Elon and Tesla but it is good to see normal people respecting the car and the tech, even if they are just being haters. Low key funny the man sounds like a paid informant, they must have had the weapon to his back during the editing like ""Don't say nothing bad"" LOL He sounded like a hostage, Waymo was not going to pay for his trip back home, Waymo the sugar daddy flew him out and he was out eating ice cream while Waymo went to work. Sugar baby",1,,True,none,"['Tesla', 'Waymo']"
UgwXvXpYGb9-88gM4_p4AaABAg,JHgr9SgeicM,@trucksanddirt1506,https://yt3.ggpht.com/ytc/AIdro_loszSJ1eGUhPbTeHSvf_OERl2IOaAYWtiQnZFTVMyaNjc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@trucksanddirt1506,UCxnDshHD37KFIAGmMm4mbug,2024-05-14T15:08:51Z,2024-05-14T15:08:51Z,1,"Waymo walks the walk, Tesla talks the talk",2,,True,none,"['Tesla', 'Waymo']"
UgwXvXpYGb9-88gM4_p4AaABAg.A3QWsiWHuPAA4zSnBEMgGR,JHgr9SgeicM,@LarsRyeJeppesen,https://yt3.ggpht.com/ytc/AIdro_nsoW0V4yLtcbwqnCIKOmPZIbpKW072KpW4JWDaYv3xAGID=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@LarsRyeJeppesen,UCecNVv-Wl0xIeMPYrg7YTtA,2024-06-22T10:37:12Z,2024-06-22T10:37:12Z,2,"How many Tesla driverless taxies out there? Sure , Buddy.. ""talks the talk"".. meanwhile every year since 2012 Elon promises it's ready ""this year"". Lmao",0,UgwXvXpYGb9-88gM4_p4AaABAg,True,none,['Tesla']
UgxbJVQX0oJpx6IBOTN4AaABAg,JHgr9SgeicM,@HR12245,https://yt3.ggpht.com/37veQh7Vx7zXAd4n7VWrhypl9--m42w8QX4VuAKL0_r84QVVJ3kWcC1a0LWwLw-Z38VvzNEO7A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@HR12245,UCTa0bJuqjEdsFklTMjjCwMw,2024-05-13T15:07:09Z,2024-05-13T15:07:09Z,0,"So I noticed that Waymo is operating as a taxi. I wonder if eventually everyone could have their own, like people have their own Tesla.",2,,True,none,"['Tesla', 'Waymo']"
UgwVmYdJXYZnjnHSHBR4AaABAg,JHgr9SgeicM,@drewsquickfix,https://yt3.ggpht.com/Ely1ygEMixZEqdMUfkX-pq76RgDSSJcHMda8FIu4yH1QYvoBj-EZmhDgxGfBRfX3sbErat73jA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@drewsquickfix,UCi9eXzHy_AMesB96Jk01YVw,2024-05-12T01:53:38Z,2024-05-12T01:53:38Z,0,Tesla has. Fixed it's issues as of November 2023. The full self drive is now great like a wayymo. However you still have to touch the wheel for liability. The future is here!,0,,True,none,['Tesla']
Ugwp0hvOJIXB5_zbt1x4AaABAg,JHgr9SgeicM,@hugo9618,https://yt3.ggpht.com/ytc/AIdro_mhOsVvyiOR2DKy9B1rrzX-He2qQZ1jqeEpHRZoUYxTFaBeYJh5jM0kO6i-v0IKU5wb0w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hugo9618,UCG0Z9HSxtGyXO3SImYYlzOg,2024-04-22T22:34:50Z,2024-04-22T22:34:50Z,0,"If Tesla can do this, omg",0,,True,none,['Tesla']
Ugzz5k7Sl_Ep1Halj4R4AaABAg,JHgr9SgeicM,@eilois,https://yt3.ggpht.com/E6GEMH_9JdHTZAQB98pcBNrgmC3ssZfY9Zt4Y_2kCRmWAECt7j9Uqp2Xv5yi0qssuBoismZaEw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@eilois,UCu0jA1bY_o-DDo-mROxayVw,2024-04-18T07:38:25Z,2024-04-18T07:38:25Z,1,Tesla is like cheap toy compared to waymo,0,,True,none,"['Tesla', 'Waymo']"
