commentId,videoId,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,publishedAt,updatedAt,likeCount,textDisplay,totalReplyCount,parentId,canRate,viewerRating,mentioned_brands
UgxdYYlzjwQPX2iLWQV4AaABAg,JHgr9SgeicM,@ryekim9629,https://yt3.ggpht.com/ytc/AIdro_nIJR3xPtGVJIg6Fbz8fKZ4tSSotpyxeMIqUdKC1gM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ryekim9629,UCsHkUL4C8ZabvPcYAoWIBWQ,2024-08-05T16:17:16Z,2024-08-05T16:17:16Z,0,Yeah bring Waymo to NYC and let's see how well it performs,0,,True,none,['Waymo']
UgzOVNy4ljr67b-ARpV4AaABAg,JHgr9SgeicM,@nikovirtanen,https://yt3.ggpht.com/deh7s8_33Tia8KnPdIEKD_jOyZEyKjw_lQVeTXnMyDabEzUuD-eFTNp6eVAn3d-Ts6RVE0oB6w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@nikovirtanen,UCsuigXhNnKQfLflHZagbaQg,2024-08-03T16:10:54Z,2024-08-03T16:10:54Z,0,it's waymo sophisticated than I thought,0,,True,none,['Waymo']
UgwJ0XCAX51v2oEjiAt4AaABAg,JHgr9SgeicM,@musicmakeup8481,https://yt3.ggpht.com/AcSe02b26oVnm1KkDgG1s9E1ASinFkMDWRH0Czz2tV2Rsu-PRbl3MyMnl6MIq8QArdnaYA25lg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@musicmakeup8481,UCO8UhFq5J1sIBniwW6IUqrA,2024-07-18T03:14:04Z,2024-07-18T03:14:04Z,0,😂 bet u this is WAYMO expensive than we think it is. 😂,0,,True,none,['Waymo']
UgwCRcH6aQS4QCa74KB4AaABAg,JHgr9SgeicM,@sandeepsandhu-bh6bm,https://yt3.ggpht.com/uS1qyBhsi6y-h0Y19lJ4PxjYKGPpdssn-UJAkjVSUeRNJ_molwQDuUqTYPFwlQ8GmhtVPEHEgw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@sandeepsandhu-bh6bm,UCft70hDMWVrzTqsq6Ax4ssw,2024-07-09T19:57:41Z,2024-07-09T19:57:41Z,0,When I sit the waymo car I am scared 😱 I already experience 5 time,0,,True,none,['Waymo']
Ugz-DCDXgdMlHzTLWuh4AaABAg.A59XO7FZslvA5NHqJ3Zd8B,JHgr9SgeicM,@mark99k,https://yt3.ggpht.com/Ubkg_gixIdLpZO42qwnnq8WqJHlppmOJzaVnUtVoGUDqFhypV64XoyfqI4NhVhCOcdB8KsQZjlI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mark99k,UCsYRp4Bih7ZzQErdV1CJnLw,2024-07-02T02:02:32Z,2024-07-02T02:02:32Z,1,"When it hears a siren the Waymo car pulls over quickly, if my 2 instances were any indication.",0,Ugz-DCDXgdMlHzTLWuh4AaABAg,True,none,['Waymo']
UgyaxXqBw5jvYFil6nl4AaABAg,JHgr9SgeicM,@christinecamley,https://yt3.ggpht.com/ytc/AIdro_kNaU6OpfdjK6dWHLD6ux8BLUxpKhJSwvy9u4MIDUW8d2U=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@christinecamley,UCuvq9c1ncVZO1E53BGfZl_Q,2024-06-26T04:07:43Z,2024-06-26T04:07:43Z,0,Fabulous! I just too a Waymo driverless vehicle in San Francisco! Loved it!,0,,True,none,['Waymo']
Ugx2DbOCdlESe6Cqtkx4AaABAg,JHgr9SgeicM,@timjohnson8725,https://yt3.ggpht.com/ytc/AIdro_neRnLSBsGlvwUkVLBp9d1gvFhfDVUZ9QTCKujeTxU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@timjohnson8725,UCNlOX84Hgca2fficYnp8stQ,2024-06-07T15:01:50Z,2024-06-07T15:01:50Z,0,Waymo to this story... And waymo less licensed drivers..,0,,True,none,['Waymo']
Ugy2SbFUpkrse4rGqOt4AaABAg,JHgr9SgeicM,@jetlorider,https://yt3.ggpht.com/ytc/AIdro_mtnQRlaEU3P9vjIl8f18ybvAtnKjcozZZmce75Viw3LEA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jetlorider,UCWS96jjE86mEfK5wDS7XAcg,2024-06-05T20:14:32Z,2024-06-05T20:14:32Z,0,This is Waymo better....,0,,True,none,['Waymo']
UgwZQq5YA1QAZasikrR4AaABAg,JHgr9SgeicM,@magan349,https://yt3.ggpht.com/566IpC5A2as05ckCUs3t54RbDMr3CXxMPKl-n1R1efLlOtOPyJpfDih6tZEGEmyhVHqBBbhkVQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@magan349,UCLg4DH49kIqTbujuML1xs9g,2024-05-30T00:32:24Z,2024-05-30T00:32:24Z,0,Looks  way waymo dangerous 😂,0,,True,none,['Waymo']
Ugx5y9xpMeDiHwC5xUJ4AaABAg,JHgr9SgeicM,@The_Love_Doctor_Sean,https://yt3.ggpht.com/6RhmP2_js74FPHVmzuO30GpER7uJlYWx1WWyxtvSFMMHfJXYB2qKihfGeG_xlGSc9790RfFf=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@The_Love_Doctor_Sean,UC4CzOGmrB-waJxIWAcyAdHg,2024-05-28T10:51:50Z,2024-05-28T10:54:13Z,0,"I know most will never give this respect and good review to Tesla because they hate Elon and Tesla but it is good to see normal people respecting the car and the tech, even if they are just being haters. Low key funny the man sounds like a paid informant, they must have had the weapon to his back during the editing like ""Don't say nothing bad"" LOL He sounded like a hostage, Waymo was not going to pay for his trip back home, Waymo the sugar daddy flew him out and he was out eating ice cream while Waymo went to work. Sugar baby",1,,True,none,"['Tesla', 'Waymo']"
UgwXvXpYGb9-88gM4_p4AaABAg,JHgr9SgeicM,@trucksanddirt1506,https://yt3.ggpht.com/ytc/AIdro_loszSJ1eGUhPbTeHSvf_OERl2IOaAYWtiQnZFTVMyaNjc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@trucksanddirt1506,UCxnDshHD37KFIAGmMm4mbug,2024-05-14T15:08:51Z,2024-05-14T15:08:51Z,1,"Waymo walks the walk, Tesla talks the talk",2,,True,none,"['Tesla', 'Waymo']"
UgxbJVQX0oJpx6IBOTN4AaABAg,JHgr9SgeicM,@HR12245,https://yt3.ggpht.com/37veQh7Vx7zXAd4n7VWrhypl9--m42w8QX4VuAKL0_r84QVVJ3kWcC1a0LWwLw-Z38VvzNEO7A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@HR12245,UCTa0bJuqjEdsFklTMjjCwMw,2024-05-13T15:07:09Z,2024-05-13T15:07:09Z,0,"So I noticed that Waymo is operating as a taxi. I wonder if eventually everyone could have their own, like people have their own Tesla.",2,,True,none,"['Tesla', 'Waymo']"
UgxbJVQX0oJpx6IBOTN4AaABAg.A3NwtSow_89A5NItvILBLd,JHgr9SgeicM,@mark99k,https://yt3.ggpht.com/Ubkg_gixIdLpZO42qwnnq8WqJHlppmOJzaVnUtVoGUDqFhypV64XoyfqI4NhVhCOcdB8KsQZjlI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mark99k,UCsYRp4Bih7ZzQErdV1CJnLw,2024-07-02T02:11:45Z,2024-07-02T02:11:45Z,0,"@HR12245 Estimates of what each car costs (Waymo isn't telling) run well into 6 figures, so widespread individual ownership is likely a long ways off.",0,UgxbJVQX0oJpx6IBOTN4AaABAg,True,none,['Waymo']
UgxQMDYZcHpoGwM5ap54AaABAg,JHgr9SgeicM,@gordanhalic1127,https://yt3.ggpht.com/ytc/AIdro_m5W-0XcYn6yqv5uMi5OnJxivKsJoVn1VxWBrcfGhwcFxw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@gordanhalic1127,UCexzUoI1CjMN1F5E_qWDQqg,2024-05-01T12:40:29Z,2024-05-01T12:40:29Z,0,"Do waymo drive in heavy rain, when snow falling, in hills and narrow streets. How many road accidents, etc?",0,,True,none,['Waymo']
Ugwk4WOhn4t3ZtLIEdR4AaABAg,JHgr9SgeicM,@emauf,https://yt3.ggpht.com/0NVvCLDr2DaEugZMSmuCIyjz6kHuXpFCouGSRGOm7k_8oUxUutIGfyfA3bbxWKg0UyvClEVD=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@emauf,UCBlBgtAWhL_VvG5V7DL4Ibg,2024-04-30T19:09:34Z,2024-04-30T19:09:34Z,0,Deserves Waymo attention,0,,True,none,['Waymo']
